ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,InjectionLines,XSSLines,DoSLines,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Duration (in seconds),,,,,,,,,,,,,
R_1g8yrJ8Wvdxbhzh,Group4,Not really,As part of University projects,No experience,462;471;482,184;236;250,66;73;86,56,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Hard,Hard,Hard,40-60%,20-40%,40-60%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,4795,,,,,,,,,,,,,
R_3k7KYUeK9efTGTC,Group1,Not really,As part of University projects,No experience,463;432,87;90,447,83;,Disagree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Easy,Neither Hard Nor Easy,40-60%,20-40%,40-60%,40-60%,Agree,Agree,Agree,4991,,,,,,,,,,,,,
R_1PcouN9SkV9SC9N,Group6,Not really,As part of University projects,No experience,110;111,287;335,386;382;409,55;56,Disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,0-20%,0-20%,20-40%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,5148,,,,,,,,,,,,,
R_2yrpYGZggIq1RyQ,Group1,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,155;471;483;571,59;62,433;451,50,Neither-Agree-nor-Disagree,Disagree,Hard,Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,40-60%,40-60%,Agree,Agree,Disagree,5321,,,,,,,,,,,,,
R_22VyuRj7Fet0j5L,Group6,Yes in Java at a Company,Several years of professional experience with Java,Find vulnerabilities outside university,91;93;95;114,151;153;157;160;237;277;278;301,370;371;375;376;495;497,49;50;51;87;,Agree,Strongly agree,Neither Hard Nor Easy,Hard,Hard,Easy,80%-100%,60-80%,40-60%,80%-100%,Agree,Strongly agree,Agree,4523,,,,,,,,,,,,,
R_3mTv8DHFOw4bTbj,Group6,Not really,As part of University projects,No experience,75,"287,301",386,73,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Hard,40-60%,40-60%,0-20%,20-40%,Strongly agree,Agree,Agree,4968,,,,,,,,,,,,,
R_w5FUlA5gTxiQ4yl,Group4,Not really,As part of University projects,No experience,204;694;853,58; 180,65;51,155;47;68,Disagree,Disagree,Neither Hard Nor Easy,Hard,Hard,Neither Hard Nor Easy,20-40%,40-60%,20-40%,0-20%,Disagree,Agree,Neither-Agree-nor-Disagree,1795,,,,,,,,,,,,,
R_1oz1UddC7uy5QvH,Group6,Yes as a Research Assistant at University,No experience,No experience,107,107,107,107,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly agree,4999,,,,,,,,,,,,,
R_2X7orZsI2e89vzb,Group3,Not really,No experience,No experience,375;434;497,59;62,429;437,337;440,Strongly disagree,Strongly disagree,Hard,Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Strongly disagree,Disagree,4957,,,,,,,,,,,,,
R_122PenXDtfMkk6e,Group2,Not really,No experience,No experience,120;,293;,91;,749;,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Disagree,Disagree,5119,,,,,,,,,,,,,
R_2wdaJmgLYXDRMLg,Group4,Not really,Developed several projects using Java,No experience,205;463;509,151;153,68;,177,Agree,Agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,60-80%,Agree,Agree,Agree,4736,,,,,,,,,,,,,
R_3KN2x3WU4w0qirN,Group1,Yes in Java at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,361; 366; 368,62; 92,437,235,Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,60-80%,60-80%,40-60%,20-40%,Agree,Agree,Agree,4030,,,,,,,,,,,,,
R_1LTGES4ZmR15DIa,Group4,Not really,As part of University projects,No experience,348;466;468,144;151;153,69;89;,55;73;109;152,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,20-40%,Agree,Agree,Agree,5013,,,,,,,,,,,,,
R_33vZvfyF4LIQNGV,Group2,Not really,As part of University projects,No experience,110;120,195;250,74,661,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,5813,,,,,,,,,,,,,
R_12A3e9pgs4AgCwf,Group2,Not really,As part of University projects,No experience,79;87;,151;153;287;,74;,425;463;,Disagree,Agree,Hard,Easy,Easy,Hard,60-80%,40-60%,60-80%,40-60%,Strongly agree,Strongly agree,Agree,5703,,,,,,,,,,,,,
R_2rHFaoDNTphevdr,Group2,Not really,As part of University projects,As part of University projects,118;76,159;163;,66;89;,749;661;,Neither-Agree-nor-Disagree,Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,0-20%,20-40%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,5838,,,,,,,,,,,,,
R_3MQJSbC7Tlp15B9,Group6,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,107;110;114,111;113;195;196;237,"445,447",51;54;55,Agree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Neither Hard Nor Easy,40-60%,60-80%,20-40%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,5498,,,,,,,,,,,,,
R_5yUf0PoPOwoqsGR,Group2,Yes as a Research Assistant at University,Developed several projects using Java,No experience,113;120,293,87,262; 283; 306; 337,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Hard,Easy,Very Hard,20-40%,40-60%,40-60%,0-20%,Agree,Agree,Disagree,5515,,,,,,,,,,,,,
R_yWRsR2tIRhTBTSF,Group2,Not really,As part of University projects,As part of University projects,75:107,177;271,67;86,795,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,6217,,,,,,,,,,,,,
R_10xCrQJf9f4abHf,Group6,Not really,As part of University projects,No experience,120,190,468,0,Disagree,Strongly disagree,Easy,Very Hard,Very Hard,Very Hard,60-80%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,6532,,,,,,,,,,,,,
R_2ScRpvy5ctbp3cZ,Group1,Yes but in another programming language at a Company,No experience,No experience,432;466;468;515,93,348;443,109;187;228,Strongly disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Strongly agree,Strongly agree,Disagree,5595,,,,,,,,,,,,,
R_3oMWMMofLc5zJW8,Group2,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,79;86;119,210;285,73;87,561;398;749,Disagree,Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,5532,,,,,,,,,,,,,
R_A1iznoOlyYPXAcN,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,479;466;468;515;926,162;163,74;76;91,253;55;56;121,Agree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,80%-100%,60-80%,60-80%,60-80%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,6059,,,,,,,,,,,,,
R_TjiKgBHjAIZMtUJ,Group6,Not really,As part of University projects,No experience,76;115;117,151;153,441;445,151,Disagree,Agree,Easy,Very Hard,Very Hard,Hard,60-80%,20-40%,20-40%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,5900,,,,,,,,,,,,,
R_1HczsgzZIbddmiw,Group5,Not really,No experience,No experience,479;854;927;928;930,87,87,422;749,Disagree,Agree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Hard,40-60%,20-40%,40-60%,20-40%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,6776,,,,,,,,,,,,,
R_3CDDaEJY5t6lVOt,Group4,Yes as a Research Assistant at University,No experience,No experience,239;397;,144;151;235;250;,87;,76;111;156;175;211;,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Easy,Easy,Very Hard,40-60%,80%-100%,80%-100%,0-20%,Agree,Agree,Disagree,6779,,,,,,,,,,,,,
R_3DdKtrw72Czi6dl,Group1,Yes but in another programming language at a Company,No experience,Find vulnerabilities outside university,483;,87;,447;,190,Strongly disagree,Strongly agree,Hard,Neither Hard Nor Easy,Very Hard,Hard,20-40%,40-60%,60-80%,80%-100%,Strongly agree,Neither-Agree-nor-Disagree,Disagree,6701,,,,,,,,,,,,,
R_3g72Bh1Q0ab0NX3,Group3,Yes but in another programming language at a Company,Developed several projects using Java,Find vulnerabilities outside university,76;107,59;66,360;364;365,747,Agree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,0-20%,Strongly agree,Strongly agree,Agree,7098,,,,,,,,,,,,,
R_2ARP5Th2dbgjHdO,Group2,Not really,No experience,No experience,82;111;121,68;75,88;,-,Disagree,Agree,Hard,Hard,Hard,Hard,0-20%,40-60%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,2908,,,,,,,,,,,,,
R_PUMvqw8JsnRr2KZ,Group4,Not really,No experience,No experience,348;483;860,151,73;74;87;89,73;109;151,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Hard,0-20%,20-40%,20-40%,0-20%,Agree,Agree,Agree,12150,,,,,,,,,,,,,
R_W7k3JDCc3sNrTpv,Group5,Yes in Java at a Company,Several years of professional experience with Java,Several years of professional experience outside of university,928;930,62,88,398,Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,80%-100%,80%-100%,80%-100%,60-80%,Neither-Agree-nor-Disagree,Strongly agree,Agree,7395,,,,,,,,,,,,,
R_2UW6uIi5tBAaZhG,Group2,Yes but in another programming language at a Company,As part of University projects,No experience,110;111;91,"208,58,64","86,89","110,200,356,700",Neither-Agree-nor-Disagree,Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,4413,,,,,,,,,,,,,
R_2usar1UzVHlXCYq,Group4,Not really,As part of University projects,No experience,206;368;458;505;543;860,144;195,86,51;73;109,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,4979,,,,,,,,,,,,,
R_1ONWDLYvUhBcCyw,Group1,Not really,As part of University projects,As part of University projects,"926, 928,930","66,86 ",482,"220, 187 ",Neither-Agree-nor-Disagree,Agree,Easy,Hard,Hard,Hard,20-40%,40-60%,20-40%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,2569,,,,,,,,,,,,,
R_1CvDaGXw181376N,Group3,Yes but in another programming language at a Company,As part of University projects,Several years of professional experience outside of university,76,65; 62; 93,450,463,Strongly disagree,Agree,Neither Hard Nor Easy,Hard,Very Hard,Very Hard,20-40%,0-20%,0-20%,20-40%,Agree,Strongly agree,Agree,3218,,,,,,,,,,,,,
R_3sjKL1XnVZbHWCY,Group1,Yes but in another programming language at a Company,As part of University projects,As part of University projects,860;549;517;483,94,468,177;196,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,20-40%,40-60%,60-80%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,4065,,,,,,,,,,,,,
R_1pzWIjUWipQCCsp,Group6,Not really,Developed several projects using Java,No experience,479;483,66,445;447;468,164;165;166,Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,40-60%,Agree,Agree,Agree,4087,,,,,,,,,,,,,
R_2AYHaVrrkG7DUMi,Group6,Not really,Developed several projects using Java,As part of University projects,200;,59,447,51,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Agree,Disagree,Disagree,4935,,,,,,,,,,,,,
R_9vPPjtbXjzBJVZf,Group1,Not really,Developed several projects using Java,As part of University projects,468;471,87; 93;94,466;468,83;,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,60-80%,40-60%,60-80%,0-20%,Agree,Agree,Disagree,5528,,,,,,,,,,,,,
R_1M4KbPNoKbgUaoS,Group5,Not really,Developed several projects using Java,As part of University projects,348;349;926;928;930,62;87;89,69,103;433;747,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,60-80%,80%-100%,60-80%,40-60%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,5841,,,,,,,,,,,,,
R_1MYx1qVFDv1l17o,Group5,Yes in Java at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,857,93,88,393;394;395;397;398;399;400,Agree,Agree,Easy,Neither Hard Nor Easy,Hard,Hard,80%-100%,80%-100%,40-60%,60-80%,Strongly agree,Agree,Neither-Agree-nor-Disagree,5894,,,,,,,,,,,,,
R_Y5rwBS1lTyPHz8J,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,76,292;300,69,461;462;463,Strongly agree,Agree,Hard,Easy,Easy,Hard,60-80%,80%-100%,80%-100%,40-60%,Strongly agree,Strongly agree,Agree,5912,,,,,,,,,,,,,
R_2R9umIz9CqFq5vd,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,348;859,195,70;91,73;109;151,Disagree,Agree,Hard,Hard,Easy,Neither Hard Nor Easy,20-40%,20-40%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,5908,,,,,,,,,,,,,
R_2EclKCymUWSTFba,Group1,Not really,As part of University projects,As part of University projects,482;483,62;87;90;93;94,441;442;443;444;445;447;451,51;83;118;164;187;220,Disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Hard,Hard,40-60%,40-60%,20-40%,0-20%,Strongly agree,Agree,Neither-Agree-nor-Disagree,6330,,,,,,,,,,,,,
R_2sYlS14Lj9krI8j,Group3,Not really,As part of University projects,No experience,114;115;95,87;90;62,435;437,218,Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,0-20%,20-40%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly disagree,6240,,,,,,,,,,,,,
R_3jSXp2GMN7pdqBb,Group4,Yes but in another programming language at a Company,Developed several projects using Java,As part of University projects,859;860,148;277;151,73;76,177;190,Strongly agree,Agree,Neither Hard Nor Easy,Very Hard,Neither Hard Nor Easy,Very Hard,80%-100%,20-40%,60-80%,40-60%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,6197,,,,,,,,,,,,,
R_3fDD5GzDzOlHRSG,Group2,Not really,As part of University projects,No experience,114;115;116;117;118;76;95,"144;186;187,188;189;190;191;195",87;70;76,103;,Disagree,Strongly disagree,Easy,Hard,Hard,Very Hard,60-80%,40-60%,20-40%,40-60%,Agree,Agree,Strongly disagree,6030,,,,,,,,,,,,,
R_pnMeooI8MkFdcf7,Group3,Not really,As part of University projects,No experience,81;95,62;87;90,441;442;445;447:451,230,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Very Hard,40-60%,60-80%,20-40%,20-40%,Agree,Agree,Disagree,6269,,,,,,,,,,,,,
R_3m1ClGfJN3xbfGu,Group3,Not really,Developed several projects using Java,No experience,86;95,87;90,347; 441;444,0,Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,40-60%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,6490,,,,,,,,,,,,,
R_pgdIS3evHx2mDhT,Group6,Not really,As part of University projects,As part of University projects,849;859,361;59;95;87;77;66,429;437,235,Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,20-40%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,6293,,,,,,,,,,,,,
R_9FWi0slEmQdiJ2h,Group6,Not really,As part of University projects,As part of University projects,361;366,58,426;433,88,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Very Hard,40-60%,40-60%,20-40%,20-40%,Agree,Agree,Strongly disagree,6596,,,,,,,,,,,,,
R_3C7ryRNz1f5rsUF,Group3,Not really,As part of University projects,As part of University projects,116,"90,93",466,6,Strongly disagree,Strongly disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,6555,,,,,,,,,,,,,
R_3lJgDVpBH9TmMF8,Group4,Not really,As part of University projects,As part of University projects,854;864;860;463,195;159;163,67;74;89,70,Disagree,Neither-Agree-nor-Disagree,Very Hard,Hard,Hard,Very Hard,0-20%,0-20%,60-80%,0-20%,Agree,Disagree,Disagree,6567,,,,,,,,,,,,,
R_pc3oz4BPPrQakyB,Group2,Not really,Developed project(s) using Java outside University,No experience,119;120,153;,73,103;747;749,Strongly disagree,Strongly disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Strongly disagree,Agree,Strongly disagree,6675,,,,,,,,,,,,,
R_3R935OVHA5w1rmf,Group3,Not really,As part of University projects,As part of University projects,76;118,62;87;90;94,435;437;438;468,1,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,40-60%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,6739,,,,,,,,,,,,,
R_6ieAUOhgZrNapTH,Group5,Not really,As part of University projects,As part of University projects,82;83;155,87;90;93,66;69;70;89,103;747,Disagree,Agree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,6771,,,,,,,,,,,,,
R_bOVyCEQJ7qvcIOB,Group5,Yes as a Research Assistant at University,Developed several projects using Java,Find vulnerabilities outside university,928;930;483,65,69;70,805;413,Disagree,Disagree,Very Hard,Hard,Very Easy,Very Hard,20-40%,20-40%,80%-100%,20-40%,Strongly disagree,Neither-Agree-nor-Disagree,Strongly disagree,6486,,,,,,,,,,,,,
R_9BtIcFBsoUnixxv,Group1,Yes in Java at a Company,Developed several projects using Java,No experience,208;225,62;89;90;91,445;447;451;468;470,50;51,Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,0-20%,40-60%,40-60%,80%-100%,Agree,Neither-Agree-nor-Disagree,Disagree,6822,,,,,,,,,,,,,
R_3CPBG9jpkpxs4ev,Group5,Not really,As part of University projects,As part of University projects,348;349,90,66;70,103,Agree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Very Hard,20-40%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,7006,,,,,,,,,,,,,
R_2SqOppb73i9h0Eo,Group1,Yes in Java at a Company,As part of University projects,As part of University projects,368;458;543,65,;,83;118;137;164;187;220,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Neither Hard Nor Easy,80%-100%,80%-100%,0-20%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,1583,,,,,,,,,,,,,
R_2isV4zPp3WUqKRD,Group5,Yes in Java at a Company,Developed several projects using Java,No experience,466;468;471,59;62;93,66;70;89,392;399,Neither-Agree-nor-Disagree,Agree,Very Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,40-60%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,2622,,,,,,,,,,,,,
R_8tqCeUALRGIrtE5,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,76;93;111,151;153;196,447;451,50;51,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Hard,20-40%,20-40%,20-40%,60-80%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,2981,,,,,,,,,,,,,
R_2jAQqnAKnSgyf4w,Group6,Yes but in another programming language at a Company,As part of University projects,As part of University projects,108;120,196,444;447,73;221,Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Hard,40-60%,20-40%,20-40%,20-40%,Agree,Agree,Agree,3007,,,,,,,,,,,,,
R_8xe8PTr1XL38IaB,Group5,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities outside university,373;392;396;407;408;419;421;422;429,62;65;85;86;87;89;94,68;72;73;74;76;76,569;660;661,Agree,Disagree,Hard,Neither Hard Nor Easy,Very Easy,Very Hard,40-60%,20-40%,80%-100%,20-40%,Agree,Agree,Agree,4853,,,,,,,,,,,,,
R_8UvXGyj7xfN3jmp,Group3,Yes in Java at a Company,Several years of professional experience with Java,Find vulnerabilities outside university,79;87;111;114;119,59;62;93;94,466;480,398;749,Agree,Agree,Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Agree,4912,,,,,,,,,,,,,
R_2OUcMW9QDVNt7jo,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,86;92,180;195,74;87,459;424,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,5321,,,,,,,,,,,,,
R_8q8DkOhOWMoMGYN,Group6,Not really,As part of University projects,No experience,114;119,321,345;429;467;468,55,Strongly disagree,Disagree,Hard,Very Hard,Very Hard,Hard,20-40%,0-20%,0-20%,20-40%,Neither-Agree-nor-Disagree,Agree,Strongly disagree,4305,,,,,,,,,,,,,
R_2kOvRCfl8uLkwcp,Group1,Not really,Developed several projects using Java,As part of University projects,944;910,86,466,56,Neither-Agree-nor-Disagree,Disagree,Very Hard,Very Hard,Very Hard,Very Hard,20-40%,20-40%,20-40%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Disagree,7015,,,,,,,,,,,,,
R_8PXmB8o9Ld76pye,Group4,Yes as a Research Assistant at University,As part of University projects,No experience,348; 349,147;148;149;150;151;152;153;154;155;156,73;74;87;89,52;177;187;201;209;235,Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,80%-100%,60-80%,60-80%,40-60%,Agree,Agree,Agree,7253,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
